Referencia,Produto
IBI142000,SET 6 MOLDES PASTEL DE NATA PORTUGUES
IBI405823,SERTA A CREPES INDUBASIC 23 CM
IBI405826,CREPE PAN INDUBASIC 26 CM
IBI409133,GRELHADOR CHAPAS NEW ESSENTIAL 33X24 CM
IBI409523,"GRELHADOR CHAPAS BASIC STONE 36X22,50"
IBI409529,"GRELHADOR CHAPAS BASIC STONE 47X28,50"
IBI440016,SERTA NATURA 16 CM
IBI440020,SERTA NATURA 20 CM
IBI440024,SERTA NATURA 24 CM
IBI440028,SERTA NATURA 28 CM
IBI440128,GELHADOR NATURA 28X28 CM
IBI441130,WOK NATURA 30 CM
IBI450018,SERTA FUSION 18 CM
IBI450022,SERTA FUSION 22 CM
IBI450026,SERTA FUSION 26 CM
IBI480123,TABULEIRO OVAL KRISTALL 23X16X5 CM
IBI480126,TABULEIRO OVAL KRISTALL 26X18X6 CM
IBI480130,TABULEIRO OVAL KRISTALL 30X21X6 CM
IBI480135,"TABULEIRO OVAL KRISTALL 35X25X6,50 CM"
IBI480140,"TABULEIRO OVAL KRISTALL 40X27X6,50 CM"
IBI480319,TIGELA KRISTALL 19X9 CM
IBI480321,TIGELA KRISTALL 21X10 CM
IBI480324,TIGELA KRISTALL 24X11 CM
IBI480625,TABULEIRO QUADRADO KRISTALL 25X22X5 CM
IBI480723,TABULEIRO KRISTALL 23X15
IBI480730,TABULEIRO KRISTALL 30X18
IBI480734,TABULEIRO KRISTALL 34X21
IBI480740,TABULEIRO KRISTALL 40X23
IBI481110,COPO MEDIDOR 1 LT
IBI610203,"CAFETEIRA PAVA INOX 3,50 LTS."
IBI610415,"CAFETEIRA COM APITO INOX 1,50 LT"
IBI610425,"CAFETEIRA COM APITO INOX 2,5 LT"
IBI612104,CHALEIRA AGADIR 400 ML
IBI620007,CHALEIRA EM FERRO FUNDIDO PRETA
IBI620012,CHALEIRA EM FERRO FUNDIDO PRETA
IBI620212,CHALEIRA FERRO FUNDIDO AZUL
IBI620712,"CHALEIRA DE FERRO FUNDIDO NARA 1,20 LT"
IBI621612,"CHALEIRA DE FERRO FUNDIDO BALI 1,20 LT"
IBI651618,FORMA PUDIM FLAN COM TAMPA 18 CMS
