Referencia,Produto
LACOR 66302Z,CAIXA 1/3 176X325X20 INOX - 66302Z
LACOR 66320Z,CAIXA 1/3 176X325X200 INOX - 66320Z
LACOR 66340Z,CAIXA 1/3 176X325X40 INOX - 66340Z
LACOR 66402Z,CAIXA 1/4 265X162X20 INOX - 66402Z
LACOR 66415Z,CAIXA 1/4 265X162X150 INOX - 66415Z
LACOR 66420Z,CAIXA 1/4 265X162X200 INOX - 66420Z
LACOR 66465Z,CAIXA 1/4 265X162X65 INOX - 66465Z
LACOR 66620Z,CAIXA 1/6 176X162X200 INOX - 66620Z
LACOR 66665Z,CAIXA 1/6 176X162X65 INOX - 66665Z
LACOR 66902DZ,TAMPA CAIXA 1/2 INOX - 66902DZ
LACOR 66903DZ,TAMPA CAIXA 1/3 INOX - 66903DZ
LACOR 66906DZ,TAMPA CAIXA 1/6 INOX - 66906DZ
LACOR 66923Z,GUIA DIVISÓRIA 530 mm INOX - 66923Z
LACOR 66925Z,GUIA DIVISÓRIA 325 mm INOX - 66925Z
LACOR 10330,BOBINA ALUMÍNIO 30 CMx300 M - 11u - 10330
LACOR 10430,BOBINA ALUMÍNIO 40 CMx300 M - 11u - 10430
LACOR 11330,BOBINA FILME TRANSPARENTE 30CMx300mt 10u - 11330
LACOR 14114,"BALDE INOX GARINOX 14 CM 1,40 LT. - 14114"
LACOR 14121,BALDE DE GELO INOX 20CMS 4LTS. - 14121
LACOR 14218,CAÇAROLA DIREITE 18CM GARINOX - 14218
LACOR 14220,CAÇAROLA DIREITE 20CM GARINOX - 14220
LACOR 14322,CAÇAROLA COM TAMPA 22CM GARINOX - 14322
LACOR 14324,CAÇAROLA COM TAMPA 24CM GARINOX - 14324
LACOR 14424,PANELA COM TAMPA 24CM GARINOX - 14424
LACOR 20021,CAÇAROLA ALTA COM TAMPA D.20CM CHEF ALUM - 20021
LACOR 20028,CAÇAROLA COM TAMPA D.28CM CHEF ALUMINIO - 20028
LACOR 20029,CAÇAROLA ALTA COM TAMPA D.28CM CHEF ALUM - 20029
LACOR 20032,CAÇAROLA COM TAMPA D.32CM CHEF ALUMINIO - 20032
LACOR 20033,CAÇAROLA ALTA COM TAMPA D.32CM CHEF ALUM - 20033
LACOR 20039,CAÇAROLA ALTA COM TAMPA D.38CM CHEF ALUM - 20039
LACOR 20046,CAÇAROLA ALTA COM TAMPA D.45CM CHEF ALUM - 20046
LACOR 20050,CAÇAROLA COM TAMPA D.50CM CHEF ALUMINIO - 20050
LACOR 20051,CAÇAROLA ALTA COM TAMPA D.50CM CHEF ALUM - 20051
LACOR 20060,CAÇAROLA COM TAMPA D.60CM CHEF ALUMINIO - 20060
LACOR 20061,CAÇAROLA ALTA COM TAMPA D.60CM CHEF ALUM - 20061
LACOR 20120,PANELA COM TAMPA D.20CM CHEF ALUMINIO - 20120
LACOR 20124,PANELA COM TAMPA D.24CM CHEF ALUMINIO - 20124
LACOR 20134,PANELA COM TAMPA D.34CM CHEF ALUMINIO - 20134
LACOR 20138,PANELA COM TAMPA D.38CM CHEF ALUMINIO - 20138
LACOR 20145,PANELA COM TAMPA D.40CM CHEF ALUMINIO - 20145
LACOR 20150,PANELA COM TAMPA D.50CM CHEF ALUMINIO - 20150
LACOR 20160,PANELA COM TAMPA D.60CM CHEF ALUMINIO - 20160
